,company,rival_0,rival_1,rival_2,rival_3,rival_4
0,"A.P. Moller (Maersk)","COSCO SHIPPING Holdings Co., Ltd.",A.P. Møller - Mærsk A/S,A.P. Møller - Mærsk A/S,Nippon Yusen Kabushiki Kaisha,Hapag-Lloyd Aktiengesellschaft
1,"AES Corp.",Avista Corporation,Black Hills Corporation,"ALLETE, Inc.",The AES Corporation,Sempra Energy
2,"Air France",,,,,
3,"American Airlines Group Inc.","Spirit Airlines, Inc.",JetBlue Airways Corporation,Southwest Airlines Co.,"Delta Air Lines, Inc.","United Airlines Holdings, Inc."
4,"American Electric Power Company, Inc.","Consolidated Edison, Inc.",The Southern Company,"Dominion Energy, Inc.",Exelon Corporation,Duke Energy Corporation
5,"ArcelorMittal S.A.",United States Steel Corporation,POSCO Holdings Inc.,Reliance Steel & Aluminum Co.,"Olympic Steel, Inc.","Steel Dynamics, Inc."
6,"BASF SE",,,,,
7,"Bayer AG",,,,,
8,"Berkshire Hathaway","The Hartford Financial Services Group, Inc.",Arch Capital Group Ltd.,Sun Life Financial Inc.,"American International Group, Inc.",Berkshire Hathaway Inc.
9,"BHP Group",Lithium Americas Corp.,MP Materials Corp.,Teck Resources Limited,Vale S.A.,Rio Tinto Group
10,"Boeing Co.","Virgin Galactic Holdings, Inc.",General Dynamics Corporation,Northrop Grumman Corporation,Raytheon Technologies Corporation,Lockheed Martin Corporation
11,"BP plc",Petróleo Brasileiro S.A. - Petrobras,TotalEnergies SE,Chevron Corporation,Exxon Mobil Corporation,Shell plc
12,"Caterpillar Inc.",CNH Industrial N.V.,Nikola Corporation,PACCAR Inc,AGCO Corporation,Deere & Company
13,"CEMEX S.A.B. de C.V.",Loma Negra Compañía Industrial Argentina Sociedad Anónima,"Martin Marietta Materials, Inc.",Cementos Pacasmayo S.A.A.,CRH plc,Vulcan Materials Company
14,"Enbridge","The Williams Companies, Inc.",Energy Transfer LP,"Kinder Morgan, Inc.",TC Energy Corporation,Enterprise Products Partners L.P.
15,"Engie SA",,,,,
16,"Eni SpA",National Fuel Gas Company,Transportadora de Gas del Sur S.A.,Ecopetrol S.A.,TotalEnergies SE,Equinor ASA
17,"Equinor ASA",Petróleo Brasileiro S.A. - Petrobras,Ecopetrol S.A.,Shell plc,TotalEnergies SE,Eni S.p.A.
18,"Exelon Corp.",Entergy Corporation,Xcel Energy Inc.,Public Service Enterprise Group Incorporated,FirstEnergy Corp.,"American Electric Power Company, Inc."
19,"Exxon Mobil Corp.",TotalEnergies SE,Petróleo Brasileiro S.A. - Petrobras,Shell plc,BP p.l.c.,Chevron Corporation
20,"FirstEnergy Corp.",Public Service Enterprise Group Incorporated,PPL Corporation,"American Electric Power Company, Inc.",Entergy Corporation,Exelon Corporation
21,"Ford Motor Company",NIO Inc.,"Lucid Group, Inc.","Tesla, Inc.","Rivian Automotive, Inc.",General Motors Company
22,"Fortum Oyj",,,,,
23,"General Electric Co.","Rockwell Automation, Inc.",Generac Holdings Inc.,Eaton Corporation plc,Cummins Inc.,Emerson Electric Co.
24,"General Motors Company",NIO Inc.,Toyota Motor Corporation,"Lucid Group, Inc.","Rivian Automotive, Inc.",Ford Motor Company
25,"Glencore PLC",,,,,
26,"Grupo México, S.A.B de C.V.",Hess Corporation,Matador Resources Company,Antero Resources Corporation,Magnolia Oil & Gas Corporation,"Comstock Resources, Inc."
27,"Honda Motor Co.",Hyundai Motor Company,"LiveWire Group, Inc.",Stellantis N.V.,"Nissan Motor Co., Ltd.",Toyota Motor Corporation
28,"International Paper Company",Sealed Air Corporation,Ball Corporation,Amcor plc,Packaging Corporation of America,WestRock Company
29,"Kinder Morgan","ONEOK, Inc.",Enbridge Inc.,Energy Transfer LP,Enterprise Products Partners L.P.,"The Williams Companies, Inc."
30,"Koninklijke Philips","Inari Medical, Inc.","iRhythm Technologies, Inc.",Medtronic plc,Smith & Nephew plc,Boston Scientific Corporation
31,"Lockheed Martin Corporation","L3Harris Technologies, Inc.",The Boeing Company,General Dynamics Corporation,Northrop Grumman Corporation,Raytheon Technologies Corporation
32,"LyondellBasell Industries N.V.","DuPont de Nemours, Inc.","PPG Industries, Inc.",International Flavors & Fragrances Inc.,"Air Products and Chemicals, Inc.",Eastman Chemical Company
33,"Marathon Petroleum","CVR Energy, Inc.",HF Sinclair Corporation,PBF Energy Inc.,Phillips 66,Valero Energy Corporation
34,"Martin Marietta Materials","CEMEX, S.A.B. de C.V.",CRH plc,Eagle Materials Inc.,"Summit Materials, Inc.",Vulcan Materials Company
35,"Mercedes-Benz Group AG",,,,,
36,"National Grid PLC","Evergy, Inc.","American Electric Power Company, Inc.",Exelon Corporation,Entergy Corporation,"Consolidated Edison, Inc."
37,"Nestlé",The Kraft Heinz Company,Kellogg Company,"McCormick & Company, Incorporated","General Mills, Inc.",Nestlé S.A.
38,"NextEra Energy, Inc.","Consolidated Edison, Inc.","American Electric Power Company, Inc.","Dominion Energy, Inc.",The Southern Company,Duke Energy Corporation
39,"Nissan Motor Co. Ltd.",Porsche Automobil Holding SE,Bayerische Motoren Werke Aktiengesellschaft,Mazda Motor Corporation,Toyota Motor Corporation,"Honda Motor Co., Ltd."
40,"NRG Energy, Inc.",Centrica plc,Pampa Energía S.A.,TransAlta Corporation,Kenon Holdings Ltd.,Vistra Corp.
41,"Occidental Petroleum Corp.","Diamondback Energy, Inc.",Marathon Oil Corporation,ConocoPhillips,Pioneer Natural Resources Company,Devon Energy Corporation
42,"PACCAR Inc",Lindsay Corporation,AGCO Corporation,Oshkosh Corporation,Terex Corporation,CNH Industrial N.V.
43,"PepsiCo, Inc.","Celsius Holdings, Inc.",Monster Beverage Corporation,Keurig Dr Pepper Inc.,"Coca-Cola Consolidated, Inc.",The Coca-Cola Company
44,"Phillips 66",PBF Energy Inc.,Sunoco LP,HF Sinclair Corporation,Marathon Petroleum Corporation,Valero Energy Corporation
45,"POSCO Holdings Inc.",Ternium S.A.,Companhia Siderúrgica Nacional,Gerdau S.A.,"Schnitzer Steel Industries, Inc.",ArcelorMittal S.A.
46,"PPL Corp.",The Southern Company,Public Service Enterprise Group Incorporated,"American Electric Power Company, Inc.",FirstEnergy Corp.,Exelon Corporation
47,"Procter & Gamble Co.",The Estée Lauder Companies Inc.,The Clorox Company,Unilever PLC,Kimberly-Clark Corporation,Colgate-Palmolive Company
48,"Raytheon Technologies Corp.",The Boeing Company,"L3Harris Technologies, Inc.",General Dynamics Corporation,Northrop Grumman Corporation,Lockheed Martin Corporation
49,"Reliance Industries",,,,,
50,"Rio Tinto",MP Materials Corp.,Lithium Americas Corp.,Teck Resources Limited,Vale S.A.,BHP Group Limited
51,"Rolls-Royce Holdings plc","Intuitive Machines, Inc.","Virgin Galactic Holdings, Inc.",Embraer S.A.,Rolls-Royce Holdings plc,Rolls-Royce Holdings plc
52,"Sasol Ltd.",REX American Resources Corporation,Element Solutions Inc,"Avantor, Inc.",5E Advanced Materials Inc.,"Kronos Worldwide, Inc."
53,"Shell plc",Equinor ASA,Chevron Corporation,Exxon Mobil Corporation,TotalEnergies SE,BP p.l.c.
54,"South32 Ltd.",Canada Nickel Company Inc.,Ivanhoe Mines Ltd.,Glencore plc,Anglo American plc,FPX Nickel Corp.
55,"Suncor Energy Inc.",Exxon Mobil Corporation,BP p.l.c.,Shell plc,Imperial Oil Limited,Cenovus Energy Inc.
56,"Suzano S.A.",Klabin S.A.,"Mativ Holdings, Inc.",Sylvamo Corporation,Clearwater Paper Corporation,Mercer International Inc.
57,"TC Energy","Magellan Midstream Partners, L.P.","ONEOK, Inc.","The Williams Companies, Inc.",Pembina Pipeline Corporation,Enbridge Inc.
58,"Teck Resources Ltd.",Lithium Americas Corp.,MP Materials Corp.,Rio Tinto Group,Vale S.A.,BHP Group Limited
59,"The Coca-Cola Company","Celsius Holdings, Inc.",Keurig Dr Pepper Inc.,Monster Beverage Corporation,"Coca-Cola Consolidated, Inc.","PepsiCo, Inc."
60,"The Southern Company","NextEra Energy, Inc.","Consolidated Edison, Inc.","American Electric Power Company, Inc.","Dominion Energy, Inc.",Duke Energy Corporation
61,"ThyssenKrupp AG",,,,,
62,"TotalEnergies SE",Chevron Corporation,BP p.l.c.,Eni S.p.A.,Equinor ASA,Shell plc
63,"Toyota Motor Corp.",Ford Motor Company,Ferrari N.V.,Stellantis N.V.,General Motors Company,"Honda Motor Co., Ltd."
64,"Trane Technologies PLC","Builders FirstSource, Inc.",Lennox International Inc.,Masco Corporation,Johnson Controls International plc,Carrier Global Corporation
65,"Unilever PLC",The Estée Lauder Companies Inc.,The Clorox Company,Colgate-Palmolive Company,The Procter & Gamble Company,Kimberly-Clark Corporation
66,"United Airlines Holdings, Inc.",JetBlue Airways Corporation,"Spirit Airlines, Inc.",Southwest Airlines Co.,American Airlines Group Inc.,"Delta Air Lines, Inc."
67,"Vale S.A.",MP Materials Corp.,Lithium Americas Corp.,Teck Resources Limited,BHP Group Limited,Rio Tinto Group
68,"Valero Energy Corp.","CVR Energy, Inc.",HF Sinclair Corporation,PBF Energy Inc.,Phillips 66,Marathon Petroleum Corporation
69,"Vedanta limited",,,,,
70,"Vistra Corp.","Huaneng Power International, Inc.",Kenon Holdings Ltd.,TransAlta Corporation,Pampa Energía S.A.,"NRG Energy, Inc."
71,"Volkswagen AG",,,,,
72,"Walmart, Inc.","BJ's Wholesale Club Holdings, Inc.","Dollar Tree, Inc.",Dollar General Corporation,Costco Wholesale Corporation,Target Corporation
73,"WEC Energy Group, Inc.",Entergy Corporation,CMS Energy Corporation,"Evergy, Inc.",Xcel Energy Inc.,Alliant Energy Corporation
74,"Weyerhaeuser Co.",Farmland Partners Inc.,Iron Mountain Incorporated,"Digital Realty Trust, Inc.",Rayonier Inc.,PotlatchDeltic Corporation
75,"Xcel Energy Inc.",CMS Energy Corporation,Alliant Energy Corporation,"American Electric Power Company, Inc.",Exelon Corporation,"WEC Energy Group, Inc."
