Company name,Stockholders Equity - Total  - 22,Difference in Total Equity,ROE,ROA,Total Assets - 21,Total Assets - 22,Difference in Total Assets,Operational Income 21,Sales - 21,Operational Income to Sales -21,Operational Income 22,Sales - 22,Difference in Sales,Operational Income to Sales - 22,Difference in Op. In /Sales (Operational Income/Sales growth),Earning per Share - 22,Sector,Organization Score,Organization Progress,Relationship score,Relationship progress,Engagement Intensity score,HQ Region,Scope 3 category,Indicator 1,Indicator 1 - progress,Indicator 2,Indicator 2 - progress,Indicator 3,Indicator 3 - progress,Indicator 4,Indicator 4 - progress,Indicator 5,Indicator 5 - progress,Indicator 6,Indicator 6 - progress,Indicator 7,Indicator 7 - progress,Indicator 8,Indicator 8 - progress,Indicator 10,Indicator 10 - progress
A.P. Moller (Maersk),65032,19444,0.448978964,0.311678053,72271,93680,21409,19460,61787,0.314952984,30762,81529,19742,0.377313594,0.06236061,1599.8904,Shipping,0.73,No change in score,0.57,No change in score,0.45,Europe,No,Y,No change in score,Y,No change in score,Y,Improvement in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Adbri Limited,1303.1,34.1,0.078735323,0.040627227,2282.9,2525.4,242.5,130.2,1569.2,0.082972215,70.3,1700.3,131.1,0.041345645,-0.04162657,0.1572,Cement,0.59,No change in score,0.56,No change in score,0.08,Australasia,No,Y,Improvement in score,Y,Improvement in score,Partial,Improvement in score,Partial,No change in score,Y,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
AES Corp.,4504,-63,-0.121225577,-0.014232464,32963,38363,5400,2545,11141,0.228435508,2341,12617,1476,0.185543315,-0.042892194,-0.82,Electric Utilities,0.66,No change in score,0.81,No change in score,0.31,North America,No,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Y,Improvement in score,Partial,No change in score,Y,No change in score
AGL Energy Ltd.,6517,1011,0.131962559,0.044628957,15450,19270,3820,-1091,10943,-0.099698437,1621,13221,2278,0.122607972,0.22230641,1.3163,Electric Utilities,0.66,No change in score,0.65,No change in score,0.31,Australasia,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Air France KLM S.A.,-2480,1336,-0.238306452,0.018294382,30683,32305,1622,-1650,14315,-0.115263709,1032,26393,12078,0.039101277,0.154364986,0.3492,Airlines,0.45,No change in score,0.47,No change in score,0.4,Europe,No,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Airbus Group,12982,3496,0.327145278,0.036629752,107047,115944,8897,4433,52149,0.085006424,5152,58763,6614,0.087674217,0.002667793,5.3959,Other transport,0.58,Improvement in score,0.52,No change in score,0.34,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
American Airlines Group Inc.,-5799,1541,-0.021900328,0.00196242,66467,64716,-1751,-5514,29882,-0.184525801,1805,48971,19089,0.036858549,0.22138435,0.2,Airlines,0.61,No change in score,0.41,No change in score,0.2,North America,No,Y,No change in score,Partial,No change in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
American Electric Power Company Inc.,24168.3,1444.8,0.095463893,0.024684014,87668.7,93469.4,5800.7,3372.3,16792,0.200827775,3692.7,19639.5,2847.5,0.188024135,-0.01280364,4.51,Electric Utilities,0.46,No change in score,0.47,Decline in score,0.43,North America,No,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Anglo American plc,34024,-746,0.132671056,0.066966339,65985,67407,1422,17198,41554,0.413871107,10896,35118,-6436,0.310268239,-0.103602869,3.7152,Diversified Mining,0.44,No change in score,0.54,Improvement in score,0.17,Europe,Yes (processing of sold products (Category 10 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Anhui Conch Cement Company Ltd.,195993.595,4167.523,0.079904397,0.064189604,230514.664,243976.422,13461.758,39697.048,148224.49,0.267817066,16921.748,103687.399,-44537.091,0.163199657,-0.104617408,2.9552,Cement,0.58,Not applicable,Not applicable,Not applicable,0.11,Asia,No,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
ArcelorMittal S.A.,55590,4246,0.167332254,0.09838493,90512,94547,4035,16717,76571,0.218320252,11709,79844,3273,0.146648465,-0.071671787,10.2108,Steel,0.57,No change in score,0.48,No change in score,0.48,Europe,No,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score
BASF SE,40923,-1158,-0.015321457,-0.007422578,87383,84472,-2911,7467,78598,0.095002417,6856,87327,8729,0.07850951,-0.016492907,-0.6953,Chemicals,0.49,No change in score,0.5,Improvement in score,0.63,Europe,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Bayer AG,38926,5758,0.106612547,0.033232701,120241,124877,4636,7152,44081,0.162246773,9121,50739,6658,0.179763101,0.017516328,4.2243,Chemicals,0.63,No change in score,0.49,No change in score,0.36,Europe,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Y,No change in score,Y,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score,Y,No change in score
Bayerische Motoren Werke Aktiengesellschaft (BMW),91288,16156,0.196531855,0.072657395,229527,246926,17399,13384,111239,0.120317515,13981,142610,31371,0.098036603,-0.022280911,27.3091,Autos,0.54,No change in score,0.51,Improvement in score,0.4,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,Improvement in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,Improvement in score,Partial,No change in score,Partial,No change in score
Berkshire Hathaway,480617,-34313,-0.047478554,-0.024059204,958784,948452,-10332,114863,354636,0.323889848,-28087,234190,-120446,-0.119932533,-0.443822381,-10.36,Other Industrials,0.32,No change in score,0.31,No change in score,0.11,North America,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
BHP Group Limited,48766,-6839,0.415145798,0.212733539,108927,95166,-13761,29319,60817,0.482085601,32940,65098,4281,0.506006329,0.023920728,4.0002,Diversified Mining,0.53,No change in score,0.46,No change in score,0.36,Australasia & Europe,Yes (processing of sold products (Category 10 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Y,No change in score,Y,No change in score,Y,No change in score
Bluescope Steel Ltd.,10448.1,2287.7,0.268670859,0.168995515,13149,16610.5,3461.5,1695.9,12902.2,0.1314427,3758.5,19029.9,6127.7,0.197504979,0.066062279,5.7092,Steel,0.61,No change in score,0.52,No change in score,0.3,Australasia,No,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,No change in score
Boeing Co.,-15848,-1002,0.31139576,-0.035995624,138552,137100,-1452,-1016,62272,-0.016315519,-1756,66608,4336,-0.0263632,-0.010047681,-8.3,Other transport,0.48,No change in score,0.4,No change in score,0.19,North America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Boral Ltd.,1897.5,-2466.5,-0.008959157,-0.003862846,7584.4,4400.9,-3183.5,135.2,2924.1,0.046236449,76.8,2955.9,31.8,0.025981934,-0.020254514,-0.0154,Cement,0.53,No change in score,Not applicable,Not applicable,0.08,Australasia,No,Y,No change in score,Y,No change in score,Y,No change in score,Y,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,Decline in score
BP plc,82990,-7449,-0.029967466,-0.00863182,287272,288120,848,10208,157739,0.064714497,40801,241392,83653,0.169023828,0.104309332,-0.79,Oil & Gas,0.7,No change in score,0.5,Improvement in score,0.59,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,Improvement in score,Y,Improvement in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,Y,Improvement in score,Partial,No change in score,Partial,No change in score
Bunge Ltd.,9956,2131,0.161711531,0.065500407,23819,24580,761,2299,59152,0.038865972,2499,67232,8080,0.0371698,-0.001696172,10.83,Consumer goods & Services,0.52,Not applicable,Not applicable,Not applicable,0.05,North America,Yes (purchased goods and services - Category 1 of the GHG protocol),N,No change in score,N,No change in score,Y,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Canadian Natural Resources Ltd.,38175,1230,0.286496398,0.143639516,76665,76142,-523,9512,30057,0.316465382,14760,42298,12241,0.348952669,0.032487287,9.64,Oil & Gas,0.45,No change in score,0.45,No change in score,0.19,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Caterpillar Inc.,15891,-625,0.421936945,0.081825171,82793,81943,-850,7711,50971,0.151282102,10827,59427,8456,0.182189914,0.030907812,12.72,Other Industrials,Not applicable,Not applicable,0.34,No change in score,0.02,North America,Yes (use of sold product,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score
Cemex SAB de CV,10909,638,0.048950408,0.020191326,26650,26447,-203,1702,14548,0.116992026,1535,15577,1029,0.098542723,-0.018449303,0.0368,Cement,0.73,No change in score,0.58,No change in score,0.43,North America,No,Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,Improvement in score
Centrica plc,1280,-1470,-0.6109375,-0.026930229,27086,29038,1952,244,14744,0.016549105,8306,23741,8997,0.349858894,0.333309789,-0.1332,Oil & Gas Distribution,0.75,Improvement in score,0.65,No change in score,0.27,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,Improvement in score,Y,Improvement in score,Y,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
CEZ AS,260261,97421,0.310403787,0.072952374,1182922,1107380,-75542,31612,224822,0.140609015,98292,281053,56231,0.349727631,0.209118616,150.5009,Electric Utilities,0.52,Improvement in score,0.71,No change in score,0.3,Europe,No,Y,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Chevron Corp.,160100,20295,0.221517801,0.137616459,239535,257709,18174,16180,155606,0.103980566,39950,235717,80111,0.169482897,0.065502331,18.36,Oil & Gas,0.4,No change in score,0.4,No change in score,0.45,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
China National Offshore Oil Corp. (CNOOC) Ltd.,598383,116407,0.236804856,0.152524512,786569,929031,142462,93199,240209,0.387991291,190535,413389,173180,0.4609097,0.072918409,3.0344,Oil & Gas,0.59,No change in score,0.5,Not applicable,0.16,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
China Petroleum & Chemical Corp. (Sinopec),936238,20197,0.070658316,0.033948292,1889255,1948640,59385,117278,2679500,0.043768614,82226,3257356,577856,0.025243173,-0.018525441,0.5472,Oil & Gas,0.54,No change in score,0.56,Not applicable,0.2,Asia,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
China Shenhua Energy Co. Ltd.,462722,13501,0.157552483,0.116611589,610597,625178,14581,83178,335216,0.248132547,102420,344533,9317,0.297271959,0.049139412,3.6692,Coal Mining,0.5,Improvement in score,0.63,Not applicable,0.11,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score
China Steel Corp.,356845.444,-30109.576,0.049685936,0.025930087,687994.969,683769.397,-4225.572,83126.358,468327.501,0.177496213,18291.844,449567.488,-18760.013,0.040687649,-0.136808565,1.1502,Steel,0.49,No change in score,Not applicable,Not applicable,0.13,Asia,No,Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Coal India Ltd.,438168.3,68583.9,0.396151433,0.096303702,1617796.9,1802433.3,184636.4,149922.3,827103.2,0.181261903,204399.4,1006233.7,179130.5,0.203133129,0.021871226,28.1663,Coal Mining,0.31,No change in score,Not applicable,Not applicable,0.07,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score
Colgate-Palmolive Co.,806,-165,2.214640199,0.113470218,15040,15731,691,3879,17421,0.222662304,3608,17967,546,0.200812601,-0.021849703,2.13,Consumer goods & Services,0.68,No change in score,Not applicable,Not applicable,0.06,North America,Yes (purchased goods and services - Category 1 of the GHG protocol),Y,Improvement in score,Y,Improvement in score,Y,Improvement in score,Y,No change in score,N,No change in score,Partial,Improvement in score,N,No change in score,Partial,No change in score,Partial,No change in score
ConocoPhillips,48003,2597,0.389142345,0.199085571,90661,93829,3168,11649,45960,0.25345953,25252,78494,32534,0.321706118,0.068246588,14.62,Oil & Gas,0.47,No change in score,0.37,No change in score,0.36,North America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
CRH plc,22337,1423,0,0,44670,45188,518,3589,30981,0.115845195,3927,32723,1742,0.120007334,0.004162139,0,Cement,0.58,No change in score,0.47,Decline in score,0.13,Europe,No,Y,No change in score,Y,No change in score,Y,Improvement in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,Improvement in score,Partial,No change in score,Partial,No change in score
Cummins Inc.,9967,566,0.21581218,0.070992442,23710,30299,6589,2209,24021,0.091961201,2865,28074,4053,0.10205172,0.01009052,15.2,Other Industrials,0.74,No change in score,0.4,No change in score,0.29,North America,Yes (use of sold product,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Daikin Industries Ltd.,2008110,309615,0.108414571,0.056932139,3239662,3823998,584336,238623,2493386,0.09570239,316352,3109106,615720,0.101750149,0.006047759,743.88,Other Industrials,0.75,Improvement in score,0.54,Improvement in score,0.21,Asia,Yes (use of sold product,Y,No change in score,Y,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Dangote Cement Plc,1078947,95278,0.348476802,0.143745257,2392019,2615655,223636,582950,1383637,0.421317152,585803,1618323,234686,0.361981508,-0.059335644,22.2742,Cement,Not applicable,Not applicable,Not applicable,Not applicable,0.01,Africa,No,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,Improvement in score
Danone SA,17992,617,0.052578924,0.020891765,45420,45281,-139,3335,24281,0.137350192,3383,27661,3380,0.122302158,-0.015048033,1.4803,Consumer goods & Services,0.78,No change in score,Not applicable,Not applicable,0.35,Europe,Yes (purchased goods and services - Category 1 of the GHG protocol),Y,No change in score,Y,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Delta Air Lines Inc.,6582,2695,0.200243087,0.018232625,72459,72288,-171,-2537,29899,-0.084852336,3537,50582,20683,0.069926061,0.154778397,2.07,Airlines,0.5,Improvement in score,0.36,No change in score,0.19,North America,No,Y,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,Decline in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,Improvement in score
Devon Energy Corp.,11296,1897,0.532489377,0.253572784,21025,23721,2696,3246,12206,0.265934786,7920,19169,6963,0.413167093,0.147232307,9.15,Oil & Gas,0.46,No change in score,0.27,No change in score,0.15,North America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Dominion Energy Inc.,27881,-1037,0.035651519,0.009535412,99590,104243,4653,3307,13964,0.23682326,1721,17174,3210,0.100209619,-0.136613641,1.08,Electric Utilities,0.54,No change in score,0.46,No change in score,0.44,North America,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,Improvement in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Dow Inc.,21247,2508,0.215653975,0.075606818,62990,60603,-2387,8119,54968,0.147704119,5972,56902,1934,0.104952374,-0.042751745,6.32,Chemicals,0.52,No change in score,0.46,No change in score,0.34,North America,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Duke Energy Corp.,51853,717,0.049177482,0.014318925,169587,178086,8499,5758,25069,0.229686066,6430,28814,3745,0.223155411,-0.006530656,4.74,Electric Utilities,0.53,No change in score,0.56,No change in score,0.37,North America,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,Improvement in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
E.ON SE,21867,3978,0.08373348,0.013663261,119759,134009,14250,7234,78119,0.092602312,-121,116657,38538,-0.001037229,-0.093639541,0.7018,Electric Utilities,0.8,No change in score,0.67,No change in score,0.54,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,Partial,Improvement in score,Y,Improvement in score,Y,Improvement in score
Ecopetrol SA,113903089,23319317,0.277470798,0.104377711,242426616,302792431,60365815,30869453,91881204,0.335971359,60497920,159611078,67729874,0.37903334,0.043061981,768.6605,Oil & Gas,0.53,No change in score,0.51,Not applicable,0.1,South America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Electricite de France S.A.,46612,-15377,-0.398009096,-0.047798172,360966,388132,27166,6661,84461,0.078864802,-16964,143476,59015,-0.118235803,-0.197100604,-5.0361,Electric Utilities,0.82,No change in score,0.77,No change in score,0.59,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score,Y,Improvement in score,Partial,Improvement in score,Y,Improvement in score,Y,No change in score,Partial,No change in score
Enbridge,63398,30,0.047367425,0.016719745,168864,179608,10744,7826,47071,0.16625948,8184,53309,6238,0.153520044,-0.012739437,1.28,Oil & Gas Distribution,0.48,No change in score,0.46,Decline in score,0.21,North America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Enel SpA,42082,-260,0.083503636,0.01600051,206940,219618,12678,8156,84104,0.096975174,10436,135653,51549,0.076931583,-0.020043591,0.3458,Electric Utilities,0.83,No change in score,0.75,No change in score,0.61,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Y,No change in score,Y,Improvement in score,Y,No change in score,Y,Improvement in score,Y,Improvement in score,Y,No change in score,Y,Improvement in score
ENEOS Holdings Inc.,3234079,481511,0.166081295,0.055670381,8058818,9648219,1589401,254175,7658011,0.033190733,785905,10921759,3263748,0.071957731,0.038766998,167.27,Oil & Gas,0.45,No change in score,0.47,No change in score,0.24,Asia,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
